Id_old,Id,GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,TARGET_5Yrs
13119,3870,62,15.5,4.9,2.3,4.8,48.7,0.3,0.7,-2.8,0.4,0.6,59,1.3,2.6,4,0.8,0.5,0.5,0.8,1
738,3871,52,10.9,4.7,1.8,3.6,49.2,-0.1,-0.4,-12.9,1.1,1.7,60.4,1.7,2.2,3.9,1.1,0.5,0.4,0.7,1
600,3872,58,22.1,6.3,2.7,5.7,46.8,0.7,1.7,29.6,0.7,0.8,76.2,1.1,2.6,3.6,1,0.8,0.5,1,1
4391,3873,81,36.1,11.3,4.1,8.7,45.3,0.5,1.4,29.9,2.3,3.3,70,1.8,5.1,6.7,2.6,0.8,0.2,2,1
378,3874,47,10.5,4.9,1.8,4.1,43.9,-0.4,-1.3,23.5,1.2,1.4,86,0.9,2,3,0.2,0.3,0.3,0.6,1
7919,3875,46,12.9,3.6,1.3,3.8,35.7,0.6,2,19.5,0.4,0.3,92.8,0.1,0.6,0.8,2.3,0.6,-0.2,0.8,1
12859,3876,60,8.2,2.7,1,2.3,44.5,0.4,1,51.2,0.5,0.6,77.8,0.2,0.8,1,0.9,0.3,0,0.5,1
3236,3877,66,7.1,1.5,0.6,1.6,37.7,-0.4,-0.8,13.4,0.2,0.4,57.2,0.6,1.2,1.7,0.3,0.3,0.3,0.4,0
9812,3878,66,16.1,4.6,1.7,3.4,50.2,0.3,0.5,-18,1.3,1.9,67.7,2,2.8,4.7,0.3,0.3,0.5,0.8,1
12129,3879,73,42.1,18.8,7.4,16.5,41.7,0.2,0.9,19.2,3.9,5.2,76.4,2.6,4.1,6.9,5.9,1.9,0.3,2.9,1
5370,3880,38,15.7,4,1.8,3.5,51.4,-0.5,-1.3,6,0.5,0.8,72.6,0.7,1.3,1.9,2.1,0.6,0.1,1,1
9902,3881,25,21.3,5.8,2.1,5,42.8,0.8,2.3,35.3,1,1.3,70.4,0.4,2.9,2.9,2.9,1.1,0.2,1.3,0
4802,3882,69,16.4,6.5,2.6,6.1,42.5,0.2,0.6,18.1,1,1.6,65.7,1.6,3.3,4.7,0.4,0.4,0.3,0.9,1
1757,3883,91,29.1,8.1,3.6,5.9,58.5,0.1,0,-4,1.3,1.9,70.2,2.1,2.8,4.7,2.2,1.4,0.2,1.7,1
9849,3884,107,31.6,15.4,5.9,12.3,48.1,0.6,1.7,11.2,3.3,4.8,67.2,1.9,4,5.8,3.6,1.2,0.5,3.2,1
7869,3885,85,19.1,7,2.7,5.4,49.4,0.5,1.3,41,1.2,1.5,79.5,0.6,2.1,2.6,2.2,0.6,0,1.2,1
8651,3886,72,14.2,8.2,2.9,6.4,44.2,-0.1,0,36.6,2.4,3.1,76,0.6,1.5,1.9,1.5,0.7,0.2,1.9,1
7112,3887,57,17.7,4,1.4,3,43.8,0.4,0.9,32.8,0.7,1.1,74.8,0.4,1.6,2.2,2.3,0.7,0.3,0.7,1
6100,3888,63,21,7.1,3,7.9,39.2,0.2,1,38.6,0.9,1.1,76.5,0.5,2,2.4,2.4,0.8,-0.1,1,1
9130,3889,22,8.7,2.7,1,2.9,36.5,0.4,1.5,19.4,0.3,0.5,63.9,0.7,0.7,1.3,0.6,0.5,0.1,0.5,0
8880,3890,79,18.7,7.2,2.7,7,39.3,0.2,0.8,7,1.5,2.4,69.6,1.1,2.2,3.2,1.4,0.7,0.3,1.3,1
10360,3891,40,5.7,1.4,0.6,1.4,41,-0.3,-0.5,0.9,0.1,0.1,71.1,0.3,1,1.3,0.1,0.1,0.2,0.2,0
8339,3892,66,23.7,9.8,3.8,7.6,51.1,0.3,1,25.6,1.8,2.8,71.4,1.2,2.5,3.5,1.9,0.8,0.4,1.4,1
6118,3893,47,11.8,4.9,1.9,4.4,43.9,0.3,1.3,-7.3,0.8,1.1,76,0.6,0.8,1.4,1.1,0.5,0.1,1,1
1062,3894,75,29.2,12.2,5.1,10.3,48.9,-0.3,-0.6,7.9,2.5,3.7,63.6,1.7,3.3,4.9,2.9,1.3,0.3,1.3,1
6689,3895,51,10.6,3.5,1.4,3.2,43.4,0.6,1.6,30.4,0.3,0.5,75.8,1.1,2.6,3.6,0.2,0.2,0.1,0.5,1
4185,3896,44,21.4,6.4,2.2,6.7,33.3,-0.2,0.1,-1.6,2.5,3.3,74.4,0.9,1.9,2.8,1.7,1.6,0.3,1.8,0
3107,3897,63,15,4.6,2.1,4.8,44.1,0,-0.1,18.2,0.6,0.9,68.7,0.9,1.5,2.2,1.1,0.6,0.2,0.8,1
9140,3898,37,6.8,3.5,1.3,3.2,41.5,0.4,1.2,22,0.5,0.6,84.3,0,0.3,0.4,2.3,0.2,-1.7,1.2,1
2584,3899,86,21.9,9.4,3.2,7.7,43,0.5,1.5,25.3,2,2.7,73.7,0.7,2.6,3.3,2.8,1.1,0.4,1.7,1
6871,3900,61,20,11.7,4.9,11.9,39.9,-0.3,-0.2,15.9,1.8,2.9,69.7,1.9,2.8,4.2,2.2,1.2,0.4,3.3,1
3661,3901,66,23.6,11,4.3,8.6,50,0.6,1.7,31.7,2.3,3,78.7,0.6,2.8,3.2,3.2,0.9,0.7,2.4,1
2105,3902,68,21,7.2,3.3,6.5,49.6,-0.5,-1.3,-5.4,1,1.8,50.8,4.2,4.6,8.6,0.3,0.5,1.4,1,1
9965,3903,71,7.7,3.2,1.2,2.2,53.5,-0.9,-2.3,22.4,0.8,1.2,66.7,1.3,1.1,2.1,0.1,0.1,0.3,0.5,1
4388,3904,52,17.3,5,1.8,4.4,41.5,0.5,1.9,18,0.7,0.9,80.2,0.9,2.5,3.3,1.1,0.6,0.1,0.7,1
8747,3905,81,31.9,14.9,5.4,10.2,54.5,0.6,1.7,31.7,3.2,4.8,61,2.1,5.1,7.4,0.9,1.1,0.9,2.3,1
9141,3906,85,22.4,10.9,4,8.4,49.7,0.6,1.9,7.3,2.5,3.3,76.9,1.1,3.7,5.3,1.2,0.5,0.5,1.1,0
5358,3907,32,7.7,2.1,0.9,1.8,48.9,-0.2,-0.8,-10.5,0.3,0.5,51.7,1,1.1,2.1,0.1,0.1,0.5,0.7,1
3272,3908,14,3.8,0.8,0.3,1,34.5,-0.1,-0.3,22.5,0,0.1,63.2,0.3,0.4,0.6,0,0,0.1,0.1,0
12328,3909,69,9.8,5.4,1.8,4.3,41,0.1,0.2,24.8,1.3,1.7,76.9,0.6,1.4,2,0.5,0.5,0.3,0.7,1
3400,3910,69,20.1,5.9,2.3,4.5,49.3,0.2,0.3,11.7,1.2,1.8,59.4,0.6,2.1,2.8,3.1,0.5,0.6,1.5,1
5055,3911,71,16.2,4.5,2.1,4,48.4,-0.7,-1.9,4.4,0.7,1.5,59.8,3.1,4.5,7.6,0.2,0.4,1.5,0.6,1
2510,3912,85,27.2,10,3.6,9.7,35.1,0.9,2.7,55.3,1.6,1.8,87.3,0.3,2.4,2.5,4.1,1.3,0.1,1.4,1
9060,3913,66,11.6,3.9,1.6,3.3,46.1,0.5,1.7,22.5,0.4,0.8,46.5,0.7,1.3,2.1,0.4,0.3,0.1,0.8,1
10104,3914,61,11.8,3.2,1.3,3.2,42.8,0.1,0.5,5.7,0.6,0.7,71.6,0.5,1.2,1.7,1.5,0.5,0.2,0.8,1
12819,3915,50,17.3,6.7,2.4,5.2,46.4,-0.2,-0.5,11.3,1.5,2.1,70.3,1.2,3,4.3,0.8,0.3,0.3,0.7,1
9831,3916,60,11.5,3.1,1.5,3.9,40.7,-0.2,-0.3,7.9,0.2,0.3,73.9,0.8,2.3,3.1,0.4,0.4,0.2,0.3,1
2581,3917,76,9.9,3.1,1.3,2.3,53.8,0.1,0.3,1.5,0.6,0.9,66.6,0.7,1.2,2,0.4,0.4,0.1,0.5,1
10876,3918,80,25.8,11.2,4.4,8.8,51.3,0.5,1.2,25,2.3,3,75.1,1.8,2.8,4.5,2.2,0.9,0.3,1.6,1
6968,3919,49,3.7,1.3,0.5,1.3,40.2,-0.4,-0.8,14.5,0.4,0.7,67.5,0.1,0.3,0.4,0.2,0.1,-0.2,0.2,1
4013,3920,74,20,6.5,3,6.4,49.4,-0.1,-0.4,2.4,0.8,1.1,69.2,1.4,4.5,6.2,0.7,0.2,0.5,1,1
11323,3921,80,25.6,9.9,4.1,9,46,0.2,0.9,4.2,1.7,2.2,76.9,0.6,2.2,2.9,3.5,0.6,0.5,2.4,1
1238,3922,79,13.1,5.5,2.3,5.8,39.7,0,0.4,18.9,0.8,1.1,75.7,0.3,0.5,0.8,3.3,0.8,-0.7,1.3,1
545,3923,44,8.6,2.1,0.7,1.8,40.8,0.2,0.5,31.4,0.5,0.7,75.6,0.5,0.4,0.8,0.3,0.2,0.1,0.4,0
9219,3924,44,7.1,1.7,0.8,1.9,41.5,-0.1,-0.4,9.5,0.2,0.3,64.1,0.3,0.6,0.9,0.2,0.3,0.1,0.3,1
10085,3925,44,12.6,5.6,2.2,4.8,43.5,0.7,1.8,29.3,1,1.4,70.4,0.3,1.6,1.8,2.6,0.7,-0.3,1.2,1
135,3926,59,18,8.5,2.9,6.8,42.9,0.7,2.2,15.3,2.2,3,71.9,0.9,1.6,2.4,1,0.6,0.3,1.4,1
11421,3927,53,12.1,5.2,1.7,3.7,48,0.7,2.1,-0.7,1.2,1.6,75.4,0.2,0.7,1,1.5,0.6,-0.2,1.8,1
9893,3928,67,13.9,8,3.2,8,40.5,0.4,1.3,26.3,1,1.3,83.1,1.1,1.7,2.8,0.6,0.5,0.6,0.7,1
12581,3929,61,21.4,10.2,3.5,7.5,44.7,0.4,1.2,0.3,3.2,4.6,66.6,1.7,3.4,5.2,3.1,1.6,0.2,1.8,1
7632,3930,56,23.1,8.4,3.1,7,44.1,0.2,0.8,29.5,2,3,67.9,1.1,2.8,3.8,1,0.6,0.4,1.7,1
9052,3931,61,11.7,3.3,1.3,2.4,54.4,0.1,0.3,15.6,0.5,0.5,86.6,0.3,1,1.3,0.5,0.2,0.1,0.4,1
8699,3932,39,14.6,3.2,1.2,3.2,38.1,0.1,0.7,22.3,0.7,1.3,66,0.5,1.4,1.8,1.4,0.6,0.2,0.8,1
12889,3933,51,13.4,4,1.8,5,34.6,0.7,2.1,37.3,0.2,0.3,77.7,0.8,2,2.8,0.2,0.4,0.3,0.4,1
1808,3934,53,10.6,4.2,1.6,3.8,44,0.1,0.2,15.3,0.6,1.2,64.6,0.8,1.5,2.2,0.6,0.3,0.1,0.9,0
5599,3935,83,28.4,11.8,4.2,10.4,40.3,0.9,2.7,32.7,2.3,2.5,93,0.2,1.5,1.7,4.3,0.6,0.1,1.6,1
1231,3936,69,22.6,7.6,3.1,9.7,29.7,0.6,2.2,50.5,0.8,1.2,70.8,0.3,1.6,1.7,6.2,1.4,-0.2,1.6,1
2250,3937,35,14.3,4.7,1.5,3.2,45.7,0,-0.2,16.4,1.5,2.1,71.4,1.1,3,3.6,0.6,0.2,0.2,0.8,1
5567,3938,67,32.5,14.2,5.4,11.7,47.3,0.6,1.9,14.4,2.8,3.9,73,1.2,3.1,4.6,2.6,1.1,0.4,2,1
7824,3939,70,26.2,12.7,4.8,10.8,43.8,0,0.3,33.1,2.4,2.7,92.1,0.9,1.9,2.9,4,0.7,0.1,2.2,1
6311,3940,63,15.9,9.4,4.1,8.7,46.2,0.4,1.3,8.9,1,1.5,76.3,0.5,1.4,1.9,1.8,0.6,0.3,1.4,1
10681,3941,53,13.5,5,2,3.8,51,0.1,0.4,11.6,0.8,1.2,73.3,1.7,2.2,3.7,0.1,0.4,0.2,0.5,1
2820,3942,73,18.7,11.8,4.7,8.9,53.9,0.4,1,24.3,2,3.2,63.9,1.1,2.4,3.5,3.2,1.1,0.3,2.2,1
2286,3943,74,28.8,8.9,3.2,8.1,38.9,0.7,2.1,35.2,1.7,2.1,72.4,1,3.5,4.3,2.9,1.7,0.4,1.3,1
4132,3944,55,15.7,3.7,1.3,3.6,37.2,0,0.1,15.8,1,1.2,85.8,1,1.7,2.6,2,0.5,0.2,1.2,0
3106,3945,62,14.7,6.3,3,6.3,49.1,0.3,0.8,11.1,0.7,0.9,75.1,0.6,1.2,1.8,1.6,1.1,0,0.6,1
9257,3946,56,15,5.7,2.1,5.1,39.6,0.8,2.1,44,0.8,0.9,79.5,0.2,0.9,1,2.9,0.2,-0.5,1.6,0
3453,3947,46,15.7,7.3,2.8,6.3,45.6,0.8,2.5,57.4,0.5,0.6,79.5,0.5,1.2,1.7,1.6,0.4,0.1,0.9,1
7801,3948,27,7.3,2.7,1,2.3,41.8,0.4,1.1,24.9,0.5,0.9,65.4,0.6,1.2,1.8,0.1,0.2,0,0.4,0
7749,3949,63,23.4,10.4,3.8,7.8,49.9,0.7,1.6,29.9,1.6,2.3,70.4,0.9,2.9,4,1.4,0.7,0.4,1,0
12373,3950,73,20,5.6,2.1,4.7,44.1,0.8,2.2,34.4,0.8,1,73.5,0.4,1.6,2.1,1.5,0.6,0.2,0.8,1
7675,3951,56,9.8,2.5,0.9,2.5,39.2,0.1,0.2,23.8,0.4,0.6,62,0.4,1.4,1.9,1.1,0.3,0.4,0.7,1
5697,3952,72,19.3,5,2,5,40.4,0.1,0.5,25.3,0.9,1.6,48.4,0.7,2,2.9,1.1,0.5,0.2,0.9,1
7199,3953,53,12.1,6.4,2.7,6.1,43.4,0.4,1.2,34.2,0.8,1,76.3,0.3,0.6,0.9,1.6,0.2,-0.1,1.4,0
6037,3954,41,8.7,3.4,1.2,3.1,39.3,0.2,0.9,13.7,1.1,1.4,74.7,0.2,0.4,0.7,0.7,0.3,-0.1,0.5,1
11386,3955,39,6.5,1.7,0.6,1.6,37.7,0.4,0.9,-5.7,0.3,0.5,67.4,0.5,0.7,1.1,0.1,0.1,-0.1,0.2,1
9096,3956,91,35.9,12.8,4.7,12.1,38.3,0.5,1.5,46.1,2.5,2.3,125.4,0.5,1.8,2.5,9.4,1,0.2,2.9,1
883,3957,71,14.6,6.1,2.2,5.5,39.2,0.2,0.7,25.3,1.5,2.2,72.9,1.3,1.5,2.5,1.5,0.8,0.1,1.3,0
3587,3958,56,11.8,3.7,1.6,3.5,44.5,0.1,0.5,13.3,0.6,0.9,66.8,0.5,1.4,2,0.9,0.5,0.2,0.9,1
12233,3959,56,22,9.5,3.8,8.5,44,0.6,1.9,54.2,1.3,1.9,66,1,2.5,3.5,1.2,0.4,0.3,1.3,1
951,3960,84,21.3,8.5,3.2,7,46.4,0.2,0.8,42.3,1.8,2.5,79.5,1,1.5,2.8,2.3,1.3,0.1,1.6,1
3747,3961,44,15.8,6.3,2.3,4.3,51.5,0.6,1.7,37.5,1,1.3,73.8,0.9,1.9,2.8,0.8,0.4,0.3,0.9,1
5864,3962,71,27.9,13.4,5,12,39.4,0.5,1.8,40.4,2.7,3.6,76,0.7,2.6,3.4,6.2,1.7,0.3,3.2,1
6709,3963,54,14.1,4.4,1.9,3.8,48.7,0.2,0.4,3.6,0.7,1.2,60.8,0.5,1.3,1.7,1.1,0.5,0.1,1.1,1
2273,3964,50,12,3.1,1.2,2.8,43.6,0.2,0.7,9.3,0.5,0.7,70,0.9,2.4,3.4,0.9,0.5,0.1,1,1
4864,3965,87,28.1,10.8,4.3,9.6,44.9,0.5,1.6,35,1.6,2.3,71.5,1,3,4.2,2.9,1.2,0.3,2,1
3219,3966,11,4.8,1.5,0.5,1.4,37.2,0,-0.2,36,0.6,0.7,79.7,0.1,0.4,0.6,0.2,0,0.1,0.3,0
12691,3967,85,27.5,9.5,3.8,7.8,51.3,0.3,0.8,-7.9,1.9,2.8,66.8,2.4,5.2,8.1,0.6,0.8,1.1,1.1,1
1662,3968,59,11.7,4.6,1.8,4,45.1,0.1,0.2,19.8,0.9,1.4,68.2,0.5,0.9,1.7,0.5,0.3,0.3,0.6,0
6052,3969,51,16.3,7,2.6,7,38,0.5,1.6,11.3,1.2,1.5,73.9,0.5,1.5,2,2.3,0.4,0.2,1.7,1
5233,3970,50,13.4,3.4,1.3,3.4,36.2,0.4,1.1,31.2,0.6,0.8,67.6,0.4,0.9,1.3,1.5,0.5,-0.1,0.7,0
2658,3971,86,23.3,7.7,3,6.8,44.8,0.6,1.8,35.6,1.1,1.6,68.9,1.3,1.6,3.1,2.1,0.7,0.9,1.4,1
11094,3972,75,33,18.3,6.8,14.1,48.9,0,0.3,4.9,4.8,6,84.6,2.4,3.4,5.9,3.1,1.1,0.2,3,1
